synthetic_record_id,internal_project_id,record_mode,enrichment_source,synthetic_as_of_date,scenario_type,demo_case_id,mixed_signals,overlap_group_id,anomaly_notes,synthetic_disclaimer,real_state,real_constituency,real_category,real_work_description,real_allocation_amount,real_recommended_date,real_status,real_lifecycle_stage,real_ida,real_city,real_block,real_village,real_mp_name,real_house,implementing_district,implementing_agency,vendor_name,sanction_date,planned_start_date,planned_completion_date,actual_start_date,actual_completion_date,sanctioned_amount,expenditure_amount,latitude,longitude,coordinate_source,project_area,physical_progress_percent,milestone_number,milestone_amount,milestone_total_amount
synthetic:enr:26102:000135,internal:03716a2d400e905b4700b1a63ce6eef62e145000b24ca3eb6c53c7902e5a48fd,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Puducherry,Puducherry,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",1000000,2023-11-29,Unsanctioned,FUTURE,PROJECT DIRECTOR RDA PUDUCHERRY_IDA,Pondicherry,,,Vaithilingam Ve,Lok Sabha,PROJECT DIRECTOR RDA PUDUCHERRY [SYNTHETIC],SYNTHETIC implementing unit attached to PROJECT DIRECTOR RDA PUDUCHERRY_IDA,SYNTHETIC PROJECT DIRECTOR RDA PUDUCHERRY Roadworks Contractor,,,,,,,,11.82017,79.873614,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Pondicherry, Puducherry",0,,,
synthetic:enr:26102:000136,internal:037c32ab9692becd868feebdacb887d54acad75e94add540abed61e5b1af5a83,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Sikkim,Sitting Rajya Sabha,Normal/Others,WS/MP174/2023-2024/11338 - Construction of community centers and community halls,1500000,2023-08-20,Sanctioned,FUTURE,DISTRICT COLLECTOR MANGAN_IDA,,MANGAN,Nampatam,SHRI Hishey Lachungpa,Rajya Sabha,MANGAN [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR MANGAN_IDA,SYNTHETIC MANGAN Community Works Contractor,2023-09-14,2024-06-23,2024-12-17,,,1500000,0,27.575555,88.550875,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Nampatam, Sikkim",0,,,
synthetic:enr:26102:000137,internal:037e34b774538e973f7b3c563f6dcc4cebbe9cccda6c3697d9e9af6a0e8cd8b1,HYBRID,SYNTHETIC,2024-06-30,EVIDENCE_GHOST,,,,SYNTHETIC EVIDENCE/GHOST: completed claim with coordinates far from the real state.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP193/2023-2024/22562 - Lighting of public spaces,224425,2023-09-18,Completed,COMPLETED,DISTRICT MAGISTRAE GHAZIABAD_IDA,Ghaziabad,,,SHRI Anil Agarwal,Rajya Sabha,GHAZIABAD [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRAE GHAZIABAD_IDA,SYNTHETIC GHAZIABAD Lighting Works Agency,2023-09-29,2023-10-12,2023-11-13,2023-10-12,2023-11-15,224425,221616,10.187273,68.416421,SYNTHETIC implausible offshore coordinates for GHOST prototype case; not official GPS,"SYNTHETIC Lighting site near Ghaziabad, Uttar Pradesh",100,2,110808,221616
synthetic:enr:26102:000138,internal:0382bd16465986b63ca2963e3c79ccbaa5765161261ce58849c26ce739f4e3ac,HYBRID,SYNTHETIC,2024-06-30,OVERLAP,,,synthetic:overlap:26102:0008,SYNTHETIC OVERLAP group: nearby coordinates and shared vendor for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Andhra Pradesh,NANDYAL,Normal/Others,NA - Installing community drinking water plants,200000,2024-01-20,Unsanctioned,FUTURE,DISTRICT COLLECTOR NANDYAL_IDA,,Uyyalawada,Govindapalle,Pocha Brahmananda Reddy,Lok Sabha,NANDYAL [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR NANDYAL_IDA,SYNTHETIC NANDYAL Water Systems Constructions,,,,,,,,15.462174,78.429693,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Water site near Govindapalle, Andhra Pradesh",0,,,
synthetic:enr:26102:000139,internal:0382e00c55da5df705eaf1b00975951c5b31c995f7e29179411287e2df23b31b,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Madhya Pradesh,VIDISHA,Normal/Others,"WS/MP649/2023-2024/30243 - Construction of roads, approach roads, link roads and pathways",200000,2023-10-02,Sanctioned,FUTURE,DISTRICT COLLECTOR SEHORE_IDA,,BUDNI,Hathnora,Ramakant Bhargava,Lok Sabha,SEHORE [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR SEHORE_IDA,SYNTHETIC SEHORE Roadworks Agency,2023-10-13,2024-06-23,2024-11-03,,,200000,0,22.661363,78.662208,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Hathnora, Madhya Pradesh",0,,,
synthetic:enr:26102:000140,internal:03862e725893eb743d3bed5e1a18fdac1b4332bb91cc539a9f151c22d26eb9e3,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,HOSHIARPUR(SC),Normal/Others,WS/MP378/2023-2024/3264 - Street lights,100000,2023-07-12,Unsanctioned,FUTURE,DEPUTY COMMISSIONER HOSHIARPUR_IDA,,MAHILPUR,Todarpur Urf Theh Pachrali(1),Shri Som Prakash,Lok Sabha,HOSHIARPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER HOSHIARPUR_IDA,SYNTHETIC HOSHIARPUR Lighting Works Constructions,,,,,,,,31.291143,75.192811,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Todarpur Urf Theh Pachrali(1), Punjab",0,,,
synthetic:enr:26102:000141,internal:038b55bb5799411f157e217026f0c7df90ac2a02a791adc2f8a174a6bce67eff,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Bihar,NALANDA,Normal/Others,NA - Construction of community centers and community halls,500000,2024-01-29,Unsanctioned,FUTURE,DISTRICT PLANNING OFFICER NALANDA_IDA,,Ekangarsarai,Telhara,Kaushalendra Kumar,Lok Sabha,NALANDA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT PLANNING OFFICER NALANDA_IDA,SYNTHETIC NALANDA Community Works Contractor,,,,,,,,25.191062,85.112404,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Telhara, Bihar",0,,,
synthetic:enr:26102:000142,internal:039a25435ffb2fcfe9fceecb64c51119f57ef5b862897146bc20073e76102156,HYBRID,SYNTHETIC,2024-06-30,OVERLAP,,,synthetic:overlap:26102:0080,SYNTHETIC OVERLAP group: nearby coordinates and shared vendor for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Madhya Pradesh,VIDISHA,Normal/Others,WS/MP649/2023-2024/30214 - Construction of common work sheds/ common covered sitting area,200000,2023-10-02,Sanctioned,FUTURE,DISTRICT COLLECTOR SEHORE_IDA,,BUDNI,Satramau,Ramakant Bhargava,Lok Sabha,SEHORE [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR SEHORE_IDA,SYNTHETIC SEHORE General Works Agency,2023-10-17,2024-06-23,2024-12-05,,,200000,0,22.705426,78.523701,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Satramau, Madhya Pradesh",0,,,
synthetic:enr:26102:000143,internal:03b02164df22cb03dbd87e7baf2e449af7104b3cc182079e131684ca786de1b7,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Karnataka,DHARWAD,Normal/Others,NA - Construction of buildings for community cultural activities,500000,2023-12-21,Unsanctioned,FUTURE,DEPUTY COMMISSIONER DHARWAR_IDA,,HUBBALLI,Nulvi,Pralhad Venkatesh Joshi,Lok Sabha,DHARWAR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER DHARWAR_IDA,SYNTHETIC DHARWAR Building Works Constructions,,,,,,,,15.351231,76.036227,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Building site near Nulvi, Karnataka",0,,,
synthetic:enr:26102:000144,internal:03b0faf9518cea6929670e4f957fd3985b2f3fb5b95f77ab0d30c3f6a83db6e3,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",West Bengal,JADAVPUR,Normal/Others,NA - Street lights,107350,2023-12-05,Unsanctioned,FUTURE,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,Rajpur Sonarpur,,,Ms Mimi Chakraborty,Lok Sabha,SOUTH TWENTY FOUR PARGANAS [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA,SYNTHETIC SOUTH TWENTY FOUR PARGANAS Lighting Works Constructions,,,,,,,,22.918568,87.741086,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Rajpur Sonarpur, West Bengal",0,,,
synthetic:enr:26102:000145,internal:03bdf37a3835fc1e7581598ab8eeb9f68e2f67b1b7f3770eb590fa0496386f50,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",West Bengal,SREERAMPUR,Normal/Others,"NA - Construction of roads, approach roads, link roads and pathways",1221726,2023-09-29,Unsanctioned,FUTURE,DISTRICT MAGISTRATE HOOGHLY_IDA,Champdani,,,Kalyan Banerjee,Lok Sabha,HOOGHLY [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE HOOGHLY_IDA,SYNTHETIC HOOGHLY Roadworks Contractor,,,,,,,,22.842914,88.0963,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Champdani, West Bengal",0,,,
synthetic:enr:26102:000146,internal:03cc7e43f95bbda8d12f2b2f96a56b7e204801f89b6f78824d7439f2f5cdbcff,HYBRID,SYNTHETIC,2024-06-30,OVERLAP,,,synthetic:overlap:26102:0039,SYNTHETIC OVERLAP group: nearby coordinates and shared vendor for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Chhattisgarh,MAHASAMUND,Normal/Others,NA - Crematoriums or structures on burial/ cremation ground for public convenience,500000,2023-10-06,Unsanctioned,FUTURE,DISTRICT COLLECTOR MAHASAMUND_IDA,,PITHORA,Rajpalpur,Chunni lal Sahu,Lok Sabha,MAHASAMUND [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR MAHASAMUND_IDA,SYNTHETIC MAHASAMUND General Works Constructions,,,,,,,,21.531467,81.866264,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Rajpalpur, Chhattisgarh",0,,,
synthetic:enr:26102:000147,internal:03cd19d4e1d113a84297f140b377ae13ca22e54a49cdcb6bd9cca9240608c006,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttar Pradesh,SHAHJAHANPUR(SC),Normal/Others,WS/MP492/2023-2024/6242 - Street lights,129700,2023-07-25,Sanctioned,FUTURE,DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,,BHAWAL KHERA,Patti Bahadurpur,Shri Arun Kumar Sagar,Lok Sabha,SHAHJAHANAPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA,SYNTHETIC SHAHJAHANAPUR Lighting Works Agency,2023-08-14,2024-06-23,2024-09-03,,,129700,0,26.679995,81.072306,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Patti Bahadurpur, Uttar Pradesh",0,,,
synthetic:enr:26102:000148,internal:03cdb0c14c1c81dda6f30f9a578bb958e75a37ce857cc801140b9ef81b0c8995,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,KANCHEEPURAM(SC),Normal/Others,NA - Lighting of public spaces,335000,2023-12-18,Unsanctioned,FUTURE,DISTRICT COLLECTOR KANCHEEPURAM_IDA,Kancheepuram,,,Ganesan Selvam,Lok Sabha,KANCHEEPURAM [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR KANCHEEPURAM_IDA,SYNTHETIC KANCHEEPURAM Lighting Works Contractor,,,,,,,,11.00993,78.545264,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Kancheepuram, Tamil Nadu",0,,,
synthetic:enr:26102:000149,internal:03d6c923f735a1a33c126ae2fd66e0d3a4003d64dcceb109376300f061573d7a,HYBRID,SYNTHETIC,2024-06-30,EVIDENCE_GHOST,,,,SYNTHETIC EVIDENCE/GHOST: completed claim with coordinates far from the real state.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Uttar Pradesh,Sitting Rajya Sabha,Normal/Others,WS/MP193/2023-2024/22648 - Lighting of public spaces,224425,2023-09-18,Completed,COMPLETED,DISTRICT MAGISTRAE GHAZIABAD_IDA,Ghaziabad,,,SHRI Anil Agarwal,Rajya Sabha,GHAZIABAD [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRAE GHAZIABAD_IDA,SYNTHETIC GHAZIABAD Lighting Works Constructions,2023-10-16,2023-10-23,2023-12-24,2023-10-26,2023-12-30,224425,215166,10.179074,68.210016,SYNTHETIC implausible offshore coordinates for GHOST prototype case; not official GPS,"SYNTHETIC Lighting site near Ghaziabad, Uttar Pradesh",100,3,71722,215166
synthetic:enr:26102:000150,internal:03d7af6d75099358b0a07948dd1f2b999aaad2802e8e3e300626b45935d7e225,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Arunachal Pradesh,ARUNACHAL WEST,Normal/Others,NA - Development of playground,300000,2024-01-09,Unsanctioned,FUTURE,Deputy Commisioner Leparada_IDA,,Tirbin Eac,Moba Doke,Kiren Rijiju,Lok Sabha,Deputy Commisioner Leparada [SYNTHETIC],SYNTHETIC implementing unit attached to Deputy Commisioner Leparada_IDA,SYNTHETIC Deputy Commisioner Leparada General Works Contractor,,,,,,,,27.927183,94.971753,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Moba Doke, Arunachal Pradesh",0,,,
synthetic:enr:26102:000151,internal:03dbef35310519c4da102fdb07cb4daff9f904a14aba0bbc1420feff6d4fa8e1,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Gujarat,MAHESANA,Normal/Others,NA - Construction of flood control embankments,400000,2023-10-10,Unsanctioned,FUTURE,DISTRICT COLLECTOR MAHESANA_IDA,Kadi,,,Smt Shardaben Anilbhai Patel,Lok Sabha,MAHESANA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR MAHESANA_IDA,SYNTHETIC MAHESANA General Works Contractor,,,,,,,,22.149107,71.018904,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Other site near Kadi, Gujarat",0,,,
synthetic:enr:26102:000152,internal:03e10d08dd0e37f5dc3cc326126d06b78a4c322903aee45e092d95c65b147068,HYBRID,SYNTHETIC,2024-06-30,COST_ANOMALY,,,,SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Bihar,Sitting Rajya Sabha,Normal/Others,"WS/MP046/2023-2024/11678 - Construction of roads, approach roads, link roads and pathways",1500000,2023-08-21,Sanctioned,FUTURE,District Planning Officer Rohtas_IDA,,AKORHIGOLA,Mahuari,SHRI Bashistha Narain Singh,Rajya Sabha,Rohtas [SYNTHETIC],SYNTHETIC implementing unit attached to District Planning Officer Rohtas_IDA,SYNTHETIC Rohtas Roadworks Constructions,2023-09-13,2024-06-23,2024-11-04,,,1500000,2419350,24.995473,85.521167,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Mahuari, Bihar",0,3,650262,1950788
synthetic:enr:26102:000153,internal:03e1498f06b7ecd17e516cfc4ce5d42aee34604094c4d28727e4d8151bad2b23,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Assam,BARPETA,Normal/Others,NA - Construction of boundary walls of existing public and community buildings,250000,2024-01-13,Unsanctioned,FUTURE,Deputy Commissioner Bongaigaon_IDA,,Srijangram,Merer Char,Shri Abdul Khaleque,Lok Sabha,Bongaigaon [SYNTHETIC],SYNTHETIC implementing unit attached to Deputy Commissioner Bongaigaon_IDA,SYNTHETIC Bongaigaon Civil Works Contractor,,,,,,,,26.245692,93.165246,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Boundary Wall site near Merer Char, Assam",0,,,
synthetic:enr:26102:000154,internal:03e6f3e613104096f8b592d915e37b44a0cf2617ba55821246f26c718e8bc6d8,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Odisha,ASKA,Normal/Others,NA - Construction of community centers and community halls,500000,2023-12-31,Unsanctioned,FUTURE,DISTRICT COLLECTOR GANJAM_IDA,,Asika,Charamaria,Smt Pramila Bisoyi,Lok Sabha,GANJAM [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR GANJAM_IDA,SYNTHETIC GANJAM Community Works Agency,,,,,,,,20.861796,84.879823,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Charamaria, Odisha",0,,,
synthetic:enr:26102:000155,internal:03e7584453f426055cd17e7bed0eb815296787ed7a112cae022635b90e500a91,HYBRID,SYNTHETIC,2024-06-30,MIXED,,"EVIDENCE_GHOST,COST_ANOMALY",,"SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding. | SYNTHETIC EVIDENCE/GHOST: completed claim with coordinates far from the real state. | SYNTHETIC MIXED signals: EVIDENCE_GHOST,COST_ANOMALY","SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,HOSHIARPUR(SC),Normal/Others,WS/MP378/2023-2024/2977 - Crematoriums or structures on burial/ cremation ground for public convenience,150000,2023-07-07,Sanctioned,FUTURE,DEPUTY COMMISSIONER HOSHIARPUR_IDA,,MUKERIAN,Rajpur (324),Shri Som Prakash,Lok Sabha,HOSHIARPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER HOSHIARPUR_IDA,SYNTHETIC HOSHIARPUR General Works Agency,2023-07-17,2024-06-23,2024-11-11,2024-06-23,2024-06-30,150000,289917,10.100078,68.537661,SYNTHETIC implausible offshore coordinates for GHOST prototype case; not official GPS,"SYNTHETIC Other site near Rajpur (324), Punjab",100,4,43242,172968
synthetic:enr:26102:000156,internal:03ef1f710792f6f26203890bd01073eacef9da3be1e766f43e2d5082d1997167,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Punjab,HOSHIARPUR(SC),Normal/Others,"WS/MP378/2023-2024/3081 - Construction of roads, approach roads, link roads and pathways",150000,2023-07-10,Unsanctioned,FUTURE,DEPUTY COMMISSIONER HOSHIARPUR_IDA,,TALWARA,Namoli (593),Shri Som Prakash,Lok Sabha,HOSHIARPUR [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER HOSHIARPUR_IDA,SYNTHETIC HOSHIARPUR Roadworks Constructions,,,,,,,,31.322286,75.333092,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Namoli (593), Punjab",0,,,
synthetic:enr:26102:000157,internal:03fc26e554d2aa140c7e3acc606d2c6ff68b12ef6ad194ea5df59f5e46e8adb5,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Bihar,Sitting Rajya Sabha,Normal/Others,NA - Construction of community centers and community halls,1499900,2023-07-31,Unsanctioned,FUTURE,DISTRICT PLANNING OFFICER SAHARSA_IDA,Saharsa,,,SH Manoj Kumar Jha,Rajya Sabha,SAHARSA [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT PLANNING OFFICER SAHARSA_IDA,SYNTHETIC SAHARSA Community Works Constructions,,,,,,,,24.937616,85.231562,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Community Hall site near Saharsa, Bihar",0,,,
synthetic:enr:26102:000158,internal:03fdda3e80fdc9b2f317dd1f3daa82cd512eb9b4a6092fed2a93376eff1906d3,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Tamil Nadu,SALEM,Normal/Others,WS/MP752/2023-2024/38604 - Lighting of public spaces,540000,2023-10-19,Sanctioned,FUTURE,DISTRICT COLLECTOR SALEM_IDA,Nangavalli,,,SR Parthiban,Lok Sabha,SALEM [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR SALEM_IDA,SYNTHETIC SALEM Lighting Works Constructions,2023-11-05,2024-06-23,2024-07-29,,,540000,0,11.439796,78.969818,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Nangavalli, Tamil Nadu",0,,,
synthetic:enr:26102:000159,internal:0406b73c257314d69204a97cb8ae44799882b8cef03c6721079d8b04ae53fa9b,HYBRID,SYNTHETIC,2024-06-30,COST_ANOMALY,,,,SYNTHETIC COST_ANOMALY/OVERBILL signal for prototype testing; not a legal finding.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Jharkhand,PALAMU(SC),Normal/Others,"WS/MP437/2023-2024/41402 - Construction of roads, link roads, pathways or any other road with or without drainage system",450000,2023-10-28,Ongoing,ONGOING,DEPUTY COMMISSIONER PALAMAU_IDA,,BISHRAMPUR,Panjri Khurd,Vishnu Dayal Ram,Lok Sabha,PALAMAU [SYNTHETIC],SYNTHETIC implementing unit attached to DEPUTY COMMISSIONER PALAMAU_IDA,SYNTHETIC PALAMAU Roadworks Constructions,2023-11-10,2023-11-26,2024-10-01,2023-12-06,,450000,667365,23.383923,85.627977,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Road site near Panjri Khurd, Jharkhand",36,4,132185,528740
synthetic:enr:26102:000160,internal:040db945673519834464f258ec0a90c0efa486751dbd408a8faeefdef9474bde,HYBRID,SYNTHETIC,2024-06-30,NORMAL,,,,,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Bihar,Nominated Rajya Sabha,Normal/Others,NA - Lighting of public spaces,299000,2024-01-03,Unsanctioned,FUTURE,DISTRICT MAGISTRATE BULANDSHAHR_IDA,,Bulandshahr,Hisara,SHRI. Rakesh Sinha,Rajya Sabha,BULANDSHAHR [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT MAGISTRATE BULANDSHAHR_IDA,SYNTHETIC BULANDSHAHR Lighting Works Agency,,,,,,,,24.813903,85.446941,SYNTHETIC approximate location from real state/constituency; not official GPS,"SYNTHETIC Lighting site near Hisara, Bihar",0,,,
synthetic:enr:26102:000161,internal:0411dc65555d72b3094e2f067c4e7cd39bba347f95b7594b7c00a3095ce502a2,HYBRID,SYNTHETIC,2024-06-30,EVIDENCE_GHOST,,,,SYNTHETIC EVIDENCE/GHOST: completed claim with no coordinates.,"SYNTHETIC prototype enrichment. Not an official MPLADS field or dataset. Linked to a real work only via internal_project_id. Do not treat district, agency, vendor, coordinates, dates, or expenditure as government values.",Gujarat,Sitting Rajya Sabha,Normal/Others,"WS/MP060/2023-2024/35749 - Construction of roads, approach roads, link roads and pathways",500000,2023-10-11,Completed,COMPLETED,DISTRICT COLLECTOR AHMADABAD_IDA,,BAVLA,Gangad,Dr Amee Yajnik Harshadray,Rajya Sabha,AHMADABAD [SYNTHETIC],SYNTHETIC implementing unit attached to DISTRICT COLLECTOR AHMADABAD_IDA,SYNTHETIC AHMADABAD Roadworks Contractor,2023-11-06,2023-11-15,2024-03-19,2023-11-24,2024-03-22,500000,489197,,,SYNTHETIC missing GPS for GHOST prototype case; not official,"SYNTHETIC Road site near Gangad, Gujarat",100,3,163065,489197
